File,Start Line #,End Line #,Start Column #,End Column #,TarantulaRater,OchiaiRater,IntensityRater,DBB Size
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\RandomAccessSequence.cs,213,213,17,18,0,0,63,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\RandomAccessSequence.cs,213,213,19,64,0,0,63,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\RandomAccessSequence.cs,213,213,65,66,0,0,62,2
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\FingerTreeSized.cs,879,879,21,22,0,0,56,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\FingerTreeSized.cs,880,880,21,65,0,0,56,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\FingerTreeSized.cs,881,881,21,43,0,0,56,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\FingerTreeSized.cs,882,882,25,56,0,0,25,1
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\FingerTreeSized.cs,885,885,17,18,0,0,56,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\FingerTreeSized.cs,686,686,67,68,0,0,23,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\FingerTreeSized.cs,687,689,17,54,0,0,23,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\FingerTreeSized.cs,690,690,13,14,0,0,23,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\FingerTreeSized.cs,489,489,67,68,0,0,19,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\FingerTreeSized.cs,490,490,17,44,0,0,19,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Collections\Persistent\FingerTreeSized.cs,491,491,13,14,0,0,19,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\OtherProjects\FP\FP\Core\Pair.cs,30,30,70,71,0,0,364,10
