,,,Rank,,,Score
Program,Total Statements,Version,Tarantula,Ochiai,VR,Tarantula,Ochiai,VR
tcas,63,6,3,3,3,0.95238095238095,0.95238095238095,0.95238095238095
,63,9,8,8,8,0.87301587301587,0.87301587301587,0.87301587301587
,63,10,3,3,3,0.95238095238095,0.95238095238095,0.95238095238095
,63,11,3,3,3,0.95238095238095,0.95238095238095,0.95238095238095
,63,21,8,8,8,0.87301587301587,0.87301587301587,0.87301587301587
,63,28,4,4,4,0.93650793650794,0.93650793650794,0.93650793650794
,63,30,3,3,3,0.95238095238095,0.95238095238095,0.95238095238095
,63,33,6,6,6,0.9047619047619,0.9047619047619,0.9047619047619
,63,35,4,4,4,0.93650793650794,0.93650793650794,0.93650793650794
,63,38,11,11,11,0.82539682539683,0.82539682539683,0.82539682539683
printtokens2,187,5,1,1,1,0.99465240641711,0.99465240641711,0.99465240641711
,187,6,3,3,1,0.98395721925134,0.98395721925134,0.99465240641711
,187,7,3,3,5,0.98395721925134,0.98395721925134,0.97326203208556
,187,10,6,6,1,0.96791443850267,0.96791443850267,0.99465240641711
schedule,144,1,4,5,2,0.97222222222222,0.96527777777778,0.98611111111111
,144,5,n/a,n/a,16,*,*,0.88888888888889
,144,6,4,5,4,0.97222222222222,0.96527777777778,0.97222222222222
schedule2,166,1,23,25,23,0.86144578313253,0.84939759036145,0.86144578313253
,166,3,9,5,3,0.94578313253012,0.96987951807229,0.98192771084337
,166,4,6,8,12,0.96385542168675,0.95180722891566,0.92771084337349
,166,5,1,26,8,0.99397590361446,0.8433734939759,0.95180722891566
,166,7,18,6,1,0.89156626506024,0.96385542168675,0.99397590361446
totinfo,135,1,n/a,n/a,1,*,*,0.99259259259259
,135,2,n/a,n/a,n/a,*,*,*
,135,4,91,91,91,0.32592592592593,0.32592592592593,0.32592592592593
,135,5,n/a,n/a,n/a,*,*,*
,135,6,n/a,n/a,n/a,*,*,*
,135,7,63,63,63,0.53333333333333,0.53333333333333,0.53333333333333
,135,9,n/a,n/a,n/a,*,*,*
,135,11,9,9,9,0.93333333333333,0.93333333333333,0.93333333333333
,135,13,63,63,63,0.53333333333333,0.53333333333333,0.53333333333333
,135,16,n/a,n/a,n/a,*,*,*
,135,17,91,91,91,0.32592592592593,0.32592592592593,0.32592592592593
,135,18,20,8,3,0.85185185185185,0.94074074074074,0.97777777777778
,135,19,n/a,n/a,n/a,*,*,*
,135,20,72,29,6,0.46666666666667,0.78518518518519,0.95555555555556
,135,21,n/a,n/a,n/a,*,*,*
,135,22,63,63,63,0.53333333333333,0.53333333333333,0.53333333333333
,135,23,91,91,91,0.32592592592593,0.32592592592593,0.32592592592593
replace,294,1,79,72,n/a,0.7312925170068,0.75510204081633,*
,294,2,2,2,42,0.99319727891156,0.99319727891156,0.85714285714286
,294,3,n/a,n/a,,*,*,1
,294,4,n/a,n/a,,*,*,1
,294,5,4,4,,0.98639455782313,0.98639455782313,1
,294,6,n/a,n/a,,*,*,1
,294,7,3,3,22,0.98979591836735,0.98979591836735,0.92517006802721
,294,8,20,20,n/a,0.93197278911565,0.93197278911565,*
,294,9,16,16,,0.94557823129252,0.94557823129252,1
,294,10,n/a,n/a,,*,*,1
,294,11,13,2,n/a,0.95578231292517,0.99319727891156,*
,294,12,1,38,n/a,0.99659863945578,0.87074829931973,*
,294,14,3,3,n/a,0.98979591836735,0.98979591836735,*
,294,15,5,5,n/a,0.98299319727891,0.98299319727891,*
,294,17,1,1,,0.99659863945578,0.99659863945578,1
,294,18,3,3,32,0.98979591836735,0.98979591836735,0.89115646258503
,294,20,1,1,,0.99659863945578,0.99659863945578,1
,294,21,71,83,,0.75850340136054,0.71768707482993,1
,294,22,3,3,,0.98979591836735,0.98979591836735,1
,294,23,7,7,,0.97619047619048,0.97619047619048,1
,294,26,4,4,,0.98639455782313,0.98639455782313,1
,294,27,9,9,,0.96938775510204,0.96938775510204,1
,294,28,8,8,,0.97278911564626,0.97278911564626,1
,294,31,3,2,,0.98979591836735,0.99319727891156,1
