File,Start Line #,End Line #,Start Column #,End Column #,TarantulaRater,OchiaiRater,DBB Size
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,107,107,9,10,0,0,5
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,108,108,13,38,0,0,5
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,109,109,13,55,0,0,5
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,110,110,13,27,0,0,5
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,112,112,9,10,0,0,5
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_spec_symbol.g.cs,78,78,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_spec_symbol.g.cs,80,80,5,35,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_spec_symbol.g.cs,81,81,5,32,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_spec_symbol.g.cs,82,82,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_token.g.cs,110,110,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_token.g.cs,112,112,5,35,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_token.g.cs,113,113,5,32,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_token.g.cs,114,114,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,191,191,9,10,0.6174497,0.1781742,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,192,192,13,45,0.6174497,0.1781742,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,193,193,13,71,0.6174497,0.1781742,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,194,194,13,52,0.6174497,0.1781742,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,195,195,13,27,0.6174497,0.1781742,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,197,197,9,10,0.6174497,0.1781742,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.token_type.g.cs,118,118,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.token_type.g.cs,120,120,5,38,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.token_type.g.cs,121,121,5,32,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.token_type.g.cs,122,122,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,202,202,9,10,0.630137,0.1825742,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,203,203,13,45,0.630137,0.1825742,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,204,204,13,71,0.630137,0.1825742,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,205,205,13,51,0.630137,0.1825742,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,206,206,13,27,0.630137,0.1825742,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,208,208,9,10,0.630137,0.1825742,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_keyword.g.cs,54,54,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_keyword.g.cs,56,56,5,31,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_keyword.g.cs,57,57,5,32,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_keyword.g.cs,58,58,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,85,85,9,10,0,0,5
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,86,86,13,38,0,0,5
