File,Start Line #,End Line #,Start Column #,End Column #,TarantulaRater,OchiaiRater,IntensityRater,DBB Size
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,103,103,9,10,0.8888889,0.8164966,2,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,104,104,13,58,0.8888889,0.8164966,2,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,105,105,9,10,0.8888889,0.8164966,2,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,85,85,9,10,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,90,90,13,73,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,91,91,13,34,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,92,92,13,14,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,93,93,17,108,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,94,94,13,14,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,99,99,13,27,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,100,100,9,10,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,25,25,9,58,0.5,0.4472136,8,1
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,61,61,9,10,1,1,2,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,63,63,13,45,1,1,2,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,64,64,9,10,1,1,2,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,108,108,9,10,0,0,1,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,109,109,13,58,0,0,1,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,110,110,9,10,0,0,1,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,149,149,9,10,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,151,151,13,46,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,155,155,13,34,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,165,165,13,26,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,166,166,13,53,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,167,167,13,71,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,168,168,13,82,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,169,169,13,52,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,170,170,13,57,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,171,171,13,54,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,172,172,13,52,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,173,173,13,50,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,174,174,13,52,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,175,175,13,46,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,176,176,13,54,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,177,177,13,51,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,179,179,13,38,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,180,180,13,43,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,184,184,9,10,0,0,3,19
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,48,48,9,10,0,0,4,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,49,49,13,45,0,0,4,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,50,50,13,45,0,0,4,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,51,51,13,45,0,0,4,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,52,52,13,45,0,0,4,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,53,53,9,10,0,0,4,6
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,113,113,9,10,0,0,4,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,118,118,13,108,0,0,4,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,119,119,13,57,0,0,4,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,120,120,13,85,0,0,4,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,122,122,13,34,0,0,4,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,124,124,13,84,0,0,4,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,141,141,13,28,0,0,4,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,142,142,9,10,0,0,4,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,67,67,9,10,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,72,72,13,73,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,73,73,13,34,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,74,74,13,14,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,75,75,17,108,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,76,76,13,14,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,81,81,13,27,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,82,82,9,10,1,0.7071068,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,56,56,9,10,0,0,1,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,57,57,13,60,0,0,1,3
