Schedule,,,
Version,Line #,Orig,Faulty
1,69,for (i=0; (f_ele != null) && (i<(n-1)); i++),for (i=0; (f_list.First != null) && (i<(n-1)); i++)
2,178,count = block_queue.Count;,count = block_queue.Count+1;
,179,n = (int) (count*ratio + 1);,n = (int)(count * ratio);
3,157,n = (int) (count*ratio + 1);,n = (int)(count * ratio + 1.1);
4,155,if (count > 0),if (count > 1)
5,159,if (procN != null) ,rmv that condition
6,69,for (i=0; (f_ele != null) && (i<(n-1)); i++),for (i=0; (f_list != null) && (i<(n-1)); i++) 
7,158,none,"if (ratio == 1.0) 
                    n--; /* Correct original */"
,,,
8,163,proc.priority = prio;,line commented out
9,280,if (args.Length < (MAXPRIO + 1)),if (args.Length < (MAXPRIO))


Schedule2,,,
Version,Line #,Orig,Faulty
1,151,if(prio < 1 || prio > MAXLOPRIO) return(BADPRIO);,commented out
2,101,index = index >= length ? length -1 : index;,commented out
3,96,"if(ratio < 0.0 || ratio > 1.0) 
                return(BADRATIO);",commented out
,,,
4,64,if(current_job != null && prio > current_job.priority),if(current_job != null || prio > current_job.priority)
5,132,none,if (prio < 1) return (BADPRIO);
6,378,prio = -1;,prio = 1;
,380,ratio = (float)-1.0;,ratio = (float)1.0;
7,96,if(ratio < 0.0 || ratio > 1.0) ,if(ratio < 0.0 || ratio >= 1.0)
8,58,"if(prio > MAXPRIO || prio < 0) 
                return(BADPRIO);",commented out
,,,
9,204,reschedule(0);,getCurrent();
10,46,"int status = put_end(prio, new_process);
            if(status != 0) 
                return(status);","put_end(prio, new_process); /* removed status code */"
,,,
,,,


TCAS,,,
Version,Line #,Orig,Faulty
1,78,result = !(Own_Below_Threat()) || ((Own_Below_Threat()) && (!(Down_Separation >= ALIM()))); ,result = !(Own_Below_Threat()) || ((Own_Below_Threat()) && (!(Down_Separation > ALIM()))); /* opertor mutation */
2,64,return Up_Separation + NOZCROSS;,return Up_Separation + MINSEP /* operand mutation NOZCROSS */;
3,123,intent_not_known = Two_of_Three_Reports_Valid && Other_RAC == NO_INTENT;,intent_not_known = Two_of_Three_Reports_Valid || Other_RAC == NO_INTENT;
4,82,result = Own_Above_Threat() && (Cur_Vertical_Sep >= MINSEP) && (Up_Separation >= ALIM());,result = Own_Above_Threat() && (Cur_Vertical_Sep >= MINSEP) || (Up_Separation >= ALIM());
5,121,enabled = High_Confidence && (Own_Tracked_Alt_Rate <= OLEV) && (Cur_Vertical_Sep > MAXALTDIFF);,enabled = High_Confidence && (Own_Tracked_Alt_Rate <= OLEV); /* && (Cur_Vertical_Sep > MAXALTDIFF); missing code */
6,107,return (Own_Tracked_Alt < Other_Tracked_Alt);,return (Own_Tracked_Alt <= Other_Tracked_Alt); /* operator mutation */
9,93,upward_preferred = Inhibit_Biased_Climb() > Down_Separation;,upward_preferred = Inhibit_Biased_Climb() >= Down_Separation; /* operator mutation */
10,112,return (Own_Tracked_Alt < Other_Tracked_Alt);,return (Own_Tracked_Alt <= Other_Tracked_Alt); /*operation mutation*/
11,107, return (Own_Tracked_Alt < Other_Tracked_Alt);,return (Own_Tracked_Alt <= Other_Tracked_Alt); /*operator mutation*/
,112,return (Other_Tracked_Alt < Own_Tracked_Alt);,return (Other_Tracked_Alt <= Own_Tracked_Alt); /*operator mutation*/
,131,"if (need_upward_RA && need_downward_RA)
alt_sep = UNRESOLVED;",code removed
,,,
20,75,upward_preferred = Inhibit_Biased_Climb() > Down_Separation;,upward_preferred = Inhibit_Biased_Climb() >= Down_Separation;
21,75,upward_preferred = Inhibit_Biased_Climb() > Down_Separation;,upward_preferred = (Up_Separation + NOZCROSS) > Down_Separation;
23,75,upward_preferred = Inhibit_Biased_Climb() > Down_Separation;,upward_preferred = (Up_Separation + NOZCROSS) > Down_Separation;
28,63,if (Climb_Inhibit == 1),if (Climb_Inhibit == 0)
30,63,return (Climb_Inhibit ? Up_Separation + NOZCROSS : Up_Separation);,return Up_Separation + NOZCROSS;
33,49,set indexfrom 0 to 3 on Positive_RA_Alt_Thresh,set index from 1 to 4 on Positive_RA_Alt_Thresh
35,64,return (Climb_Inhibit ? Up_Separation + NOZCROSS : Up_Separation);,return (Climb_Inhibit ? Up_Separation : Up_Separation + NOZCROSS);
38,25,static int[] Positive_RA_Alt_Thresh = new int[4];,static int[] Positive_RA_Alt_Thresh = new int[3];

PrintTokens2,,,
Version,Line #,Orig,Faulty
5,379,return (FALSE);,return (TRUE);
6,350,if (Char.IsNumber(str.ToCharArray()[i])),if (Char.IsNumber(str.ToCharArray()[i+1]))
7,209,if (ch == '\n')     /* for comment until meet end of line */,if (ch == '\n' || ch == ' ')     /* for comment until meet end of line */
10,372,while (str.ToCharArray()[i] != '\0')  /* until meet the token end sign */,while (str.ToCharArray()[0] != '\0')  /* until meet the token end sign */
